year,carbon_sequestration_mtco2e,forest_loss_hectares,biomass_density_mgha,carbon_stock_gtc,co2_equivalent_tons,status,avoided_emissions_tCO2e,cumulative_avoided_tCO2e
2001,13.2,850,312.1,1.95,13200000,Baseline,430673,430673
2002,13.4,920,313.4,1.96,13400000,Stable,486525,917198
2003,13.3,1050,312.8,1.96,13300000,Stable,377684,1294882
2004,13.5,1180,314.5,1.97,13500000,Stable,542481,1837363
2005,13.6,1250,315.2,1.97,13600000,Stable,598057,2435420
2006,13.8,1400,316.7,1.98,13800000,Stable,655531,3090951
2007,13.7,1650,317.1,1.98,13700000,Stable,629010,3719961
2008,13.9,1800,318.4,1.99,13900000,Stable,713970,4433931
2009,14.0,2100,319.2,1.99,14000000,Stable,770823,5204754
2010,14.1,2400,320.5,2.00,14100000,Monitoring,829245,6034000
2011,14.2,2600,321.2,2.01,14200000,Monitoring,858758,6892758
2012,14.0,3200,319.8,2.01,14000000,Disturbed,606785,7499543
2013,14.1,3800,320.4,2.02,14100000,Stable,663189,8162732
2014,14.3,4200,321.7,2.02,14300000,Stable,776860,8939592
2015,14.4,4500,322.2,2.03,14400000,Stable,805856,9745448
2016,14.2,5100,321.5,2.03,14200000,Monitoring,665466,10410914
2017,14.5,5800,322.8,2.04,14500000,Stable,835196,11246110
2018,14.5,5400,323.2,2.04,14500000,Baseline_Ref,836231,12082341
2019,14.8,4900,324.4,2.05,14800000,Improving,1007203,13089544
2020,14.4,4600,323.1,2.05,14400000,Disturbed,668778,13758322
2021,15.1,4100,325.7,2.06,15100000,Improving,1067419,14825741
2022,14.9,3700,326.5,2.06,14900000,Stable,1182677,16008418
2023,15.5,3400,328.2,2.07,15500000,Positive,1302058,17310476
2024,15.2,3100,329.8,2.08,15200000,Positive,1422180,18732656
2025,15.8,2900,331.4,2.09,15820000,Optimal,1597711,20330367
2026,16.4,2500,333.0,2.11,16300000,Updated,1800000,22130375.1592
2027,16.6,2400,333.8,2.12,16500000,Projected,1900000,24020375.1592
