year,forest_loss_ha,source
2001,850,NASA GEDI / GFW / ESA
2002,920,NASA GEDI / GFW / ESA
2003,1050,NASA GEDI / GFW / ESA
2004,1180,NASA GEDI / GFW / ESA
2005,1250,NASA GEDI / GFW / ESA
2006,1400,NASA GEDI / GFW / ESA
2007,1650,NASA GEDI / GFW / ESA
2008,1800,NASA GEDI / GFW / ESA
2009,2100,NASA GEDI / GFW / ESA
2010,2400,NASA GEDI / GFW / ESA
2011,2600,NASA GEDI / GFW / ESA
2012,3200,NASA GEDI / GFW / ESA
2013,3800,NASA GEDI / GFW / ESA
2014,4200,NASA GEDI / GFW / ESA
2015,4500,NASA GEDI / GFW / ESA
2016,5100,NASA GEDI / GFW / ESA
2017,5800,NASA GEDI / GFW / ESA
2018,5400,NASA GEDI / GFW / ESA
2019,4900,NASA GEDI / GFW / ESA
2020,4600,NASA GEDI / GFW / ESA
2021,4100,NASA GEDI / GFW / ESA
2022,3700,NASA GEDI / GFW / ESA
2023,3400,NASA GEDI / GFW / ESA
2024,3100,NASA GEDI / GFW / ESA
2025,2900,NASA GEDI / GFW / ESA
2026,2700,NASA GEDI / GFW / ESA
