# Metadata: Avoided Emissions Index (Annual and Cumulative)
# Project: Okapi Wildlife Reserve (RFO)
# Units: Metric Tons CO2e (tCO2e)
# Standard: Verra VCS / REDD+
year,avoided_emissions_tCO2e,cumulative_avoided_tCO2e
2001,430673,430673
2002,486525,917198
2003,377684,1294882
2004,542481,1837363
2005,598057,2435420
2006,655531,3090951
2007,629010,3719961
2008,713970,4433931
2009,770823,5204754
2010,829245,6034000
2011,858758,6892758
2012,606785,7499543
2013,663189,8162732
2014,776860,8939592
2015,805856,9745448
2016,665466,10410914
2017,835196,11246110
2018,836231,12082341
2019,1007203,13089544
2020,668778,13758322
2021,1067419,14825741
2022,1182677,16008418
2023,1302058,17310476
2024,1422180,18732656
2025,1597711,20330367
2026,1718517,22048884
