year,forest_loss_ha,carbon_density_tCha,avoided_emissions_tCO2e,cumulative_tCO2e,source,methodology
2001,5200.0,146.687,430673.032,430673.032,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2002,5100.0,147.29799999999997,486525.29399999994,917198.3259999999,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2003,5300.0,147.016,377684.104,1294882.43,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2004,5000.0,147.815,542481.05,1837363.48,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2005,4900.0,148.14399999999998,598057.3279999999,2435420.8079999997,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2006,4800.0,148.849,655530.9959999999,3090951.8039999995,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2007,4850.0,149.037,629010.6585,3719962.4624999994,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2008,4700.0,149.64799999999997,713970.6079999999,4433933.070499999,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2009,4600.0,150.02399999999997,770823.3119999998,5204756.382499999,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2010,4500.0,150.635,829245.6749999999,6034002.057499999,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2011,4450.0,150.964,858758.714,6892760.771499999,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2012,4900.0,150.30599999999998,606785.3219999999,7499546.093499999,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2013,4800.0,150.588,663189.552,8162735.645499999,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2014,4600.0,151.19899999999998,776860.4619999999,8939596.107499998,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2015,4550.0,151.434,805856.031,9745452.138499998,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2016,4800.0,151.105,665466.42,10410918.558499997,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2017,4500.0,151.716,835196.58,11246115.138499998,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2018,4500.0,151.904,836231.52,12082346.658499997,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2019,4200.0,152.468,1007203.6079999999,13089550.266499996,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2020,4800.0,151.857,668778.228,13758328.494499996,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2021,4100.0,153.07899999999998,1067419.8669999999,14825748.361499997,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2022,3900.0,153.45499999999998,1182677.6849999998,16008426.046499997,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2023,3700.0,154.254,1302058.0139999997,17310484.060499996,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2024,3500.0,155.006,1422180.05,18732664.110499997,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2025,3205.0,155.75799999999998,1597711.0486999997,20330375.159199998,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2026,2500.0,156.320,1800000.000,22130375.1592,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
2027,2400.0,156.780,1900000.000,24020375.1592,NASA GEDI / GFW / ESA,REDD+ / IPCC VM0015
