# Metadata: Carbon Avoided through Deforestation Prevention
# Project: Okapi Wildlife Reserve (RFO)
# Units: Metric Tons CO2e
# Methodology: REDD+ VM0015 / IPCC 2006
year,avoided_emissions_tCO2e
2001,430673
2002,486525
2003,377684
2004,542481
2005,598057
2006,655531
2007,629010
2008,713970
2009,770823
2010,829245
2011,858758
2012,606785
2013,663189
2014,776860
2015,805856
2016,665466
2017,835196
2018,836231
2019,1007203
2020,668778
2021,1067419
2022,1182677
2023,1302058
2024,1422180
2025,1597711
2026,1800000
2027,1900000
