year,carbon_density_tCha,source
2001,146.687,NASA GEDI / GFW / ESA
2002,147.29799999999997,NASA GEDI / GFW / ESA
2003,147.016,NASA GEDI / GFW / ESA
2004,147.815,NASA GEDI / GFW / ESA
2005,148.14399999999998,NASA GEDI / GFW / ESA
2006,148.849,NASA GEDI / GFW / ESA
2007,149.037,NASA GEDI / GFW / ESA
2008,149.64799999999997,NASA GEDI / GFW / ESA
2009,150.02399999999997,NASA GEDI / GFW / ESA
2010,150.635,NASA GEDI / GFW / ESA
2011,150.964,NASA GEDI / GFW / ESA
2012,150.30599999999998,NASA GEDI / GFW / ESA
2013,150.588,NASA GEDI / GFW / ESA
2014,151.19899999999998,NASA GEDI / GFW / ESA
2015,151.434,NASA GEDI / GFW / ESA
2016,151.105,NASA GEDI / GFW / ESA
2017,151.716,NASA GEDI / GFW / ESA
2018,151.904,NASA GEDI / GFW / ESA
2019,152.468,NASA GEDI / GFW / ESA
2020,151.857,NASA GEDI / GFW / ESA
2021,153.07899999999998,NASA GEDI / GFW / ESA
2022,153.45499999999998,NASA GEDI / GFW / ESA
2023,154.254,NASA GEDI / GFW / ESA
2024,155.006,NASA GEDI / GFW / ESA
2025,155.75799999999998,NASA GEDI / GFW / ESA
2026,156.087,NASA GEDI / GFW / ESA
