year,cumulative_tCO2e,source
2001,430673.032,NASA GEDI / GFW / ESA
2002,917198.3259999999,NASA GEDI / GFW / ESA
2003,1294882.43,NASA GEDI / GFW / ESA
2004,1837363.48,NASA GEDI / GFW / ESA
2005,2435420.8079999997,NASA GEDI / GFW / ESA
2006,3090951.8039999995,NASA GEDI / GFW / ESA
2007,3719962.4624999994,NASA GEDI / GFW / ESA
2008,4433933.070499999,NASA GEDI / GFW / ESA
2009,5204756.382499999,NASA GEDI / GFW / ESA
2010,6034002.057499999,NASA GEDI / GFW / ESA
2011,6892760.771499999,NASA GEDI / GFW / ESA
2012,7499546.093499999,NASA GEDI / GFW / ESA
2013,8162735.645499999,NASA GEDI / GFW / ESA
2014,8939596.107499998,NASA GEDI / GFW / ESA
2015,9745452.138499998,NASA GEDI / GFW / ESA
2016,10410918.558499997,NASA GEDI / GFW / ESA
2017,11246115.138499998,NASA GEDI / GFW / ESA
2018,12082346.658499997,NASA GEDI / GFW / ESA
2019,13089550.266499996,NASA GEDI / GFW / ESA
2020,13758328.494499996,NASA GEDI / GFW / ESA
2021,14825748.361499997,NASA GEDI / GFW / ESA
2022,16008426.046499997,NASA GEDI / GFW / ESA
2023,17310484.060499996,NASA GEDI / GFW / ESA
2024,18732664.110499997,NASA GEDI / GFW / ESA
2025,20330375.159199998,NASA GEDI / GFW / ESA
2026,22130375.1592,NASA GEDI / GFW / ESA
2027,24020375.1592,NASA GEDI / GFW / ESA
